nhm_id,hru_id,model_hru_idx,vpu,areasqkm
31553,8439,8439,17,7.999181499906674
31554,8440,8440,17,19.413362724832663
31555,8441,8441,17,14.1921874101704
31556,8442,8442,17,0.0035999550001062
31557,8443,8443,17,8.008254453839063
31558,8444,8444,17,13.665897578420822
31559,8445,8445,17,4.190608485094801
31560,8446,8446,17,5.308088807660466
31561,8447,8447,17,45.542874166676505
31562,8448,8448,17,7.693476013328195
31563,8449,8449,17,9.475548827856764
31564,8450,8450,17,10.77580125313911
31565,8451,8451,17,2.930440644149765
31566,8452,8452,17,6.669408829355668
31567,8453,8453,17,13.231490198994171
31568,8454,8454,17,14.128509756000325
31569,8455,8455,17,0.0076499550000876
31570,8456,8456,17,1.98746764552974
31571,8457,8457,17,23.148614811589987
31572,8458,8458,17,1.4301185238744014
31573,8459,8459,17,19.362521475875766
31574,8460,8460,17,18.70259863686304
31575,8461,8461,17,3.6908293652707145
31576,8462,8462,17,12.24803845944929
31577,8463,8463,17,3.0617905764488893
31578,8464,8464,17,4.567255851628647
31579,8465,8465,17,14.239215724475166
31580,8466,8466,17,1.0532501178855749
31581,8467,8467,17,3.7896500081121327
31582,8468,8468,17,26.21917508167457
31583,8469,8469,17,2.6932875850095304
31584,8470,8470,17,6.623489979682962
31585,8471,8471,17,77.17239875312556
31586,8472,8472,17,74.35802470883193
31587,8473,8473,17,29.43537437316621
31588,8474,8474,17,0.4871391666137203
31589,8475,8475,17,2.5161608828856123
31590,8476,8476,17,1.0334597148455231
31591,8477,8477,17,1.5148904291545562
31592,8478,8478,17,27.39633603852646
31593,8479,8479,17,10.28780273476944
31594,8480,8480,17,38.12581271619531
31595,8481,8481,17,9.261647907499087
31596,8482,8482,17,32.95430768889937
31597,8483,8483,17,0.1373416136069744
31598,8484,8484,17,25.229342817115192
31599,8485,8485,17,11.502807074896465
31600,8486,8486,17,6.555221161333692
31601,8487,8487,17,37.69732900966515
31602,8488,8488,17,17.22996719060819
31603,8489,8489,17,21.13073281389641
31604,8490,8490,17,16.511845485175105
31605,8491,8491,17,45.27315511781734
31606,8492,8492,17,29.076539227344867
31607,8493,8493,17,26.510159913158507
31608,8494,8494,17,28.533583054277337
31609,8495,8495,17,7.860165775725322
31610,8496,8496,17,14.222703648126114
31611,8497,8497,17,10.271246428373104
31612,8498,8498,17,31.206363940012924
31613,8499,8499,17,8.430536541507081
31614,8500,8500,17,1.439598866647005
31615,8501,8501,17,1.1924511423523725
31616,8502,8502,17,0.4861476084627807
31617,8503,8503,17,7.98780218003615
31618,8504,8504,17,28.456247032369102
31619,8505,8505,17,26.26060366982827
31620,8506,8506,17,8.118975702785503
31621,8507,8507,17,6.542024405215636
31622,8508,8508,17,11.163647536049336
31623,8509,8509,17,4.987752342451632
31624,8510,8510,17,0.7318080978610814
31625,8511,8511,17,10.834090921137063
31626,8512,8512,17,1.8998087555508016
31627,8513,8513,17,5.185891104949416
31628,8514,8514,17,4.945107706758779
31629,8515,8515,17,9.72714254074073
31630,8516,8516,17,0.1782001215001754
31631,8517,8517,17,32.081644677240995
31632,8518,8518,17,14.816904724260905
31633,8519,8519,17,16.25229090276587
31634,8520,8520,17,43.10765893973289
31635,8521,8521,17,0.4164655894645006
31636,8522,8522,17,13.66853414503482
31637,8523,8523,17,33.89666129985943
31638,8524,8524,17,5.300589969137948
31639,8525,8525,17,4.6190271935139
31640,8526,8526,17,13.292322450983288
31641,8527,8527,17,0.7105499235001802
31642,8528,8528,17,1.546965886677686
31643,8529,8529,17,2.075534482319832
31644,8530,8530,17,5.944016906585873
31645,8531,8531,17,5.068382800917506
31646,8532,8532,17,0.0089999954999536
31647,8533,8533,17,20.32981626205772
31648,8534,8534,17,17.469284376944714
31649,8535,8535,17,23.355216891960684
31650,8536,8536,17,14.180633814542592
31651,8537,8537,17,25.23666244365617
31652,8538,8538,17,3.2973870478482543
31653,8539,8539,17,0.8034808131488561
31654,8540,8540,17,1.988318646849752
31655,8541,8541,17,22.80190028177833
31656,8542,8542,17,9.441096593109414
31657,8543,8543,17,20.34001570772235
31658,8544,8544,17,2.0559879888775927
31659,8545,8545,17,0.0215999864999055
31660,8546,8546,17,0.077849914500013
31661,8547,8547,17,0.9067500089993776
31662,8548,8548,17,6.79764331805665
31663,8549,8549,17,7.413356542443931
31664,8550,8550,17,5.503126586906563
31665,8551,8551,17,0.8324234130927771
31666,8552,8552,17,4.406239757826917
31667,8553,8553,17,15.703359558180797
31668,8554,8554,17,28.559096894204448
31669,8555,8555,17,8.657251845797367
31670,8556,8556,17,9.185669783059566
31671,8557,8557,17,20.23253676942113
31672,8558,8558,17,4.184192660043198
31673,8559,8559,17,8.520368507724703
31674,8560,8560,17,15.606381906292723
31675,8561,8561,17,0.0009000225000903
31676,8562,8562,17,1.235488248432666
31677,8563,8563,17,34.13972481970408
31678,8564,8564,17,3.1487571651789192
31679,8565,8565,17,18.99727981167033
